From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
ORC1	Q13415	reviewed	ORC1_HUMAN	Origin recognition complex subunit 1 (Replication control protein 1)	ORC1 ORC1L PARC1	Homo sapiens (Human)	861
ORC2	Q13416	reviewed	ORC2_HUMAN	Origin recognition complex subunit 2	ORC2 ORC2L	Homo sapiens (Human)	577
ORC3	Q9UBD5	reviewed	ORC3_HUMAN	Origin recognition complex subunit 3 (Origin recognition complex subunit Latheo)	ORC3 LATHEO ORC3L	Homo sapiens (Human)	711
ORC4	O43929	reviewed	ORC4_HUMAN	Origin recognition complex subunit 4	ORC4 ORC4L	Homo sapiens (Human)	436
ORC5	O43913	reviewed	ORC5_HUMAN	Origin recognition complex subunit 5	ORC5 ORC5L	Homo sapiens (Human)	435
ORC6	Q9Y5N6	reviewed	ORC6_HUMAN	Origin recognition complex subunit 6	ORC6 ORC6L	Homo sapiens (Human)	252
CDC6	Q99741	reviewed	CDC6_HUMAN	Cell division control protein 6 homolog (CDC6-related protein) (Cdc18-related protein) (HsCdc18) (p62(cdc6)) (HsCDC6)	CDC6 CDC18L	Homo sapiens (Human)	560
MCM2	P49736	reviewed	MCM2_HUMAN	DNA replication licensing factor MCM2 (EC 3.6.4.12) (Minichromosome maintenance protein 2 homolog) (Nuclear protein BM28)	MCM2 BM28 CCNL1 CDCL1 KIAA0030	Homo sapiens (Human)	904
MCM3	P25205	reviewed	MCM3_HUMAN	DNA replication licensing factor MCM3 (EC 3.6.4.12) (DNA polymerase alpha holoenzyme-associated protein P1) (P1-MCM3) (RLF subunit beta) (p102)	MCM3	Homo sapiens (Human)	808
MCM4	P33991	reviewed	MCM4_HUMAN	DNA replication licensing factor MCM4 (EC 3.6.4.12) (CDC21 homolog) (P1-CDC21)	MCM4 CDC21	Homo sapiens (Human)	863
MCM5	P33992	reviewed	MCM5_HUMAN	DNA replication licensing factor MCM5 (EC 3.6.4.12) (CDC46 homolog) (P1-CDC46)	MCM5 CDC46	Homo sapiens (Human)	734
MCM6	Q14566	reviewed	MCM6_HUMAN	DNA replication licensing factor MCM6 (EC 3.6.4.12) (p105MCM)	MCM6	Homo sapiens (Human)	821
MCM7	P33993	reviewed	MCM7_HUMAN	DNA replication licensing factor MCM7 (EC 3.6.4.12) (CDC47 homolog) (P1.1-MCM3)	MCM7 CDC47 MCM2	Homo sapiens (Human)	719
CDC45	O75419	reviewed	CDC45_HUMAN	Cell division control protein 45 homolog (PORC-PI-1)	CDC45 CDC45L CDC45L2 UNQ374/PRO710	Homo sapiens (Human)	566
GINS1	Q14691	reviewed	PSF1_HUMAN	DNA replication complex GINS protein PSF1 (GINS complex subunit 1)	GINS1 KIAA0186 PSF1	Homo sapiens (Human)	196
GINS2	Q9Y248	reviewed	PSF2_HUMAN	DNA replication complex GINS protein PSF2 (GINS complex subunit 2)	GINS2 PSF2 CGI-122 DC5 HSPC037	Homo sapiens (Human)	185
GINS3	Q9BRX5	reviewed	PSF3_HUMAN	DNA replication complex GINS protein PSF3 (GINS complex subunit 3)	GINS3 PSF3	Homo sapiens (Human)	216
GINS4	Q9BRT9	reviewed	SLD5_HUMAN	DNA replication complex GINS protein SLD5 (GINS complex subunit 4) [Cleaved into: DNA replication complex GINS protein SLD5, N-terminally processed]	GINS4 SLD5	Homo sapiens (Human)	223
POLD1	P28340	reviewed	DPOD1_HUMAN	DNA polymerase delta catalytic subunit (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase subunit delta p125)	POLD1 POLD	Homo sapiens (Human)	1107
POLD2	P49005	reviewed	DPOD2_HUMAN	DNA polymerase delta subunit 2 (DNA polymerase delta subunit p50)	POLD2	Homo sapiens (Human)	469
POLD3	Q15054	reviewed	DPOD3_HUMAN	DNA polymerase delta subunit 3 (DNA polymerase delta subunit C) (DNA polymerase delta subunit p66) (DNA polymerase delta subunit p68)	POLD3 KIAA0039	Homo sapiens (Human)	466
POLD4	Q9HCU8	reviewed	DPOD4_HUMAN	DNA polymerase delta subunit 4 (DNA polymerase delta subunit p12)	POLD4 POLDS	Homo sapiens (Human)	107
POLE	Q07864	reviewed	DPOE1_HUMAN	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A)	POLE POLE1	Homo sapiens (Human)	2286
POLE2	P56282	reviewed	DPOE2_HUMAN	DNA polymerase epsilon subunit 2 (DNA polymerase II subunit 2) (DNA polymerase epsilon subunit B)	POLE2 DPE2	Homo sapiens (Human)	527
POLE3	Q9NRF9	reviewed	DPOE3_HUMAN	DNA polymerase epsilon subunit 3 (Arsenic-transactivated protein) (AsTP) (Chromatin accessibility complex 17 kDa protein) (CHRAC-17) (HuCHRAC17) (DNA polymerase II subunit 3) (DNA polymerase epsilon subunit p17)	POLE3 CHRAC17	Homo sapiens (Human)	147
POLE4	Q9NR33	reviewed	DPOE4_HUMAN	DNA polymerase epsilon subunit 4 (DNA polymerase II subunit 4) (DNA polymerase epsilon subunit p12)	POLE4	Homo sapiens (Human)	117
PCNA	P12004	reviewed	PCNA_HUMAN	Proliferating cell nuclear antigen (PCNA) (Cyclin)	PCNA	Homo sapiens (Human)	261
RFC1	P35251	reviewed	RFC1_HUMAN	Replication factor C subunit 1 (Activator 1 140 kDa subunit) (A1 140 kDa subunit) (Activator 1 large subunit) (Activator 1 subunit 1) (DNA-binding protein PO-GA) (Replication factor C 140 kDa subunit) (RF-C 140 kDa subunit) (RFC140) (Replication factor C large subunit)	RFC1 RFC140	Homo sapiens (Human)	1148
RFC2	P35250	reviewed	RFC2_HUMAN	Replication factor C subunit 2 (Activator 1 40 kDa subunit) (A1 40 kDa subunit) (Activator 1 subunit 2) (Replication factor C 40 kDa subunit) (RF-C 40 kDa subunit) (RFC40)	RFC2	Homo sapiens (Human)	354
RFC3	P40938	reviewed	RFC3_HUMAN	Replication factor C subunit 3 (Activator 1 38 kDa subunit) (A1 38 kDa subunit) (Activator 1 subunit 3) (Replication factor C 38 kDa subunit) (RF-C 38 kDa subunit) (RFC38)	RFC3	Homo sapiens (Human)	356
RFC4	P35249	reviewed	RFC4_HUMAN	Replication factor C subunit 4 (Activator 1 37 kDa subunit) (A1 37 kDa subunit) (Activator 1 subunit 4) (Replication factor C 37 kDa subunit) (RF-C 37 kDa subunit) (RFC37)	RFC4	Homo sapiens (Human)	363
RFC5	P40937	reviewed	RFC5_HUMAN	Replication factor C subunit 5 (Activator 1 36 kDa subunit) (A1 36 kDa subunit) (Activator 1 subunit 5) (Replication factor C 36 kDa subunit) (RF-C 36 kDa subunit) (RFC36)	RFC5	Homo sapiens (Human)	340
RPA1	P27694	reviewed	RFA1_HUMAN	Replication protein A 70 kDa DNA-binding subunit (RP-A p70) (Replication factor A protein 1) (RF-A protein 1) (Single-stranded DNA-binding protein) [Cleaved into: Replication protein A 70 kDa DNA-binding subunit, N-terminally processed]	RPA1 REPA1 RPA70	Homo sapiens (Human)	616
RPA2	P15927	reviewed	RFA2_HUMAN	Replication protein A 32 kDa subunit (RP-A p32) (Replication factor A protein 2) (RF-A protein 2) (Replication protein A 34 kDa subunit) (RP-A p34)	RPA2 REPA2 RPA32 RPA34	Homo sapiens (Human)	270
RPA3	P35244	reviewed	RFA3_HUMAN	Replication protein A 14 kDa subunit (RP-A p14) (Replication factor A protein 3) (RF-A protein 3)	RPA3 REPA3 RPA14	Homo sapiens (Human)	121
PRIM1	P49642	reviewed	PRI1_HUMAN	DNA primase small subunit (EC 2.7.7.102) (DNA primase 49 kDa subunit) (p49)	PRIM1	Homo sapiens (Human)	420
PRIM2	P49643	reviewed	PRI2_HUMAN	DNA primase large subunit (DNA primase 58 kDa subunit) (p58)	PRIM2 PRIM2A	Homo sapiens (Human)	509
FEN1	P39748	reviewed	FEN1_HUMAN	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (DNase IV) (Flap structure-specific endonuclease 1) (Maturation factor 1) (MF1) (hFEN-1)	FEN1 RAD2	Homo sapiens (Human)	380
LIG1	P18858	reviewed	DNLI1_HUMAN	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	LIG1	Homo sapiens (Human)	919
TOP1	P11387	reviewed	TOP1_HUMAN	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765
TOP2A	P11388	reviewed	TOP2A_HUMAN	DNA topoisomerase 2-alpha (EC 5.6.2.2) (DNA topoisomerase II, alpha isozyme)	TOP2A TOP2	Homo sapiens (Human)	1531
